transferid,organid,fromhospitalid,tohospitalid,pickuptime,deliverytime,transportationmode,preservation,conditiononarrival
9990350,333643,35,32,2022-12-07 06:46:38,2022-12-08 05:26:38,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990351,333783,49,1,2022-06-29 18:49:48,2022-06-30 17:08:48,Charter Jet,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990352,333551,3,1,2019-09-03 00:01:50,2019-09-04 00:08:50,Helicopter,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990353,333614,10,50,2022-01-21 04:17:44,2022-01-22 02:04:44,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990354,333412,47,19,2020-02-23 22:13:15,2020-02-24 01:23:15,Helicopter,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990355,334031,36,45,2019-11-10 15:47:41,2019-11-11 09:44:41,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990356,333358,27,31,2023-05-08 15:29:02,2023-05-08 20:33:02,Medical Courier Service,Cryopreservation,Compromised - Significant ischemic injury
9990357,333345,46,38,2020-05-26 10:58:44,2020-05-27 11:37:44,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990358,334148,44,19,2024-01-21 11:33:34,2024-01-22 10:52:34,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990359,334005,39,40,2019-03-16 03:34:23,2019-03-16 09:04:23,Medical Courier Service,Cryopreservation,Excellent - No signs of damage or degradation
9990360,333705,20,15,2019-05-10 19:13:35,2019-05-11 13:36:35,Specialized Ambulance,Cryopreservation,Good - Minor superficial bruising - viable
9990361,333790,36,32,2021-11-09 04:21:42,2021-11-09 16:57:42,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990362,334164,1,42,2024-06-08 20:43:24,2024-06-09 13:58:24,Charter Jet,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990363,333369,15,7,2024-10-21 15:15:03,2024-10-22 07:12:03,Medical Courier Service,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990364,334129,22,21,2020-01-12 20:55:58,2020-01-13 12:05:58,Charter Jet,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990365,333578,9,5,2022-12-05 18:44:48,2022-12-06 11:32:48,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990366,334022,20,22,2019-09-16 19:08:54,2019-09-17 03:40:54,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990367,333921,26,46,2021-12-16 02:22:56,2021-12-17 00:05:56,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990368,334057,34,6,2021-10-15 16:53:24,2021-10-15 23:27:24,Medical Courier Service,Cryopreservation,Excellent - No signs of damage or degradation
9990369,333700,5,6,2022-11-22 02:30:14,2022-11-22 17:07:14,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990370,333667,1,8,2019-01-05 13:29:49,2019-01-06 09:52:49,Charter Jet,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990371,333938,4,39,2022-05-24 10:26:07,2022-05-25 09:44:07,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990372,334114,35,7,2023-10-24 19:08:26,2023-10-25 17:45:26,Medical Courier Service,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990373,333801,30,16,2024-12-13 22:34:33,2024-12-14 08:20:33,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990374,334135,40,11,2024-10-19 22:23:50,2024-10-20 12:00:50,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990375,333764,4,42,2019-03-28 04:18:01,2019-03-28 11:24:01,Specialized Ambulance,Cryopreservation,Excellent - No signs of damage or degradation
9990376,334314,5,25,2018-10-24 07:51:51,2018-10-24 13:30:51,Charter Jet,Cryopreservation,Excellent - No signs of damage or degradation
9990377,333773,43,13,2023-07-03 00:10:41,2023-07-03 23:55:41,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990378,333448,18,17,2023-04-22 17:22:32,2023-04-23 05:30:32,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990379,333885,31,20,2022-11-02 11:32:16,2022-11-02 23:58:16,Air Transport (Commercial),Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990380,333441,12,16,2020-07-20 00:58:15,2020-07-20 07:39:15,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990381,333372,11,44,2019-06-20 19:41:04,2019-06-21 14:40:04,Helicopter,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990382,333360,27,29,2022-01-03 23:56:42,2022-01-04 21:18:42,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990383,333937,25,32,2018-07-11 23:32:16,2018-07-12 17:55:16,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990384,333725,21,38,2022-12-22 00:55:00,2022-12-22 09:49:00,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990385,333994,8,39,2018-08-31 06:19:40,2018-09-01 01:03:40,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990386,334166,39,6,2018-08-29 22:03:17,2018-08-30 19:13:17,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990387,333831,18,2,2020-06-09 10:19:54,2020-06-09 16:03:54,Helicopter,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990388,333873,49,3,2022-06-25 11:53:45,2022-06-25 23:19:45,Charter Jet,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990389,333378,47,43,2023-11-16 10:50:30,2023-11-17 02:51:30,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990390,333922,27,13,2023-02-17 22:38:19,2023-02-18 15:48:19,Charter Jet,Cryopreservation,Excellent - No signs of damage or degradation
9990391,333510,37,13,2022-06-06 21:51:53,2022-06-07 16:28:53,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990392,333595,24,50,2021-01-02 05:59:48,2021-01-02 21:45:48,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990393,333652,17,50,2021-03-14 11:33:54,2021-03-14 21:57:54,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990394,333612,35,34,2024-06-24 11:50:01,2024-06-25 07:51:01,Specialized Ambulance,Cryopreservation,Compromised - Significant ischemic injury
9990395,333498,20,34,2020-03-12 09:32:56,2020-03-12 14:11:56,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990396,333729,8,50,2022-09-16 10:00:59,2022-09-17 00:31:59,Charter Jet,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990397,333862,12,5,2018-06-30 15:51:13,2018-07-01 02:23:13,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990398,333891,47,41,2019-02-23 03:18:36,2019-02-24 03:18:36,Charter Jet,Cryopreservation,Excellent - No signs of damage or degradation
9990399,333932,44,41,2023-05-15 00:09:08,2023-05-16 00:21:08,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990400,334176,4,42,2021-06-14 08:55:32,2021-06-14 18:44:32,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990401,334098,18,9,2019-03-19 03:51:05,2019-03-19 09:29:05,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990402,333571,27,32,2024-06-08 01:17:14,2024-06-08 07:26:14,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990403,333689,5,47,2024-10-30 04:13:08,2024-10-30 13:07:08,Helicopter,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990404,333828,15,10,2020-04-26 20:19:40,2020-04-27 18:41:40,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990405,333829,5,20,2025-02-20 11:09:26,2025-02-21 04:26:26,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990406,333463,20,30,2022-10-15 20:35:00,2022-10-16 15:14:00,Air Transport (Commercial),Cryopreservation,Compromised - Significant ischemic injury
9990407,333351,45,20,2023-05-16 18:21:55,2023-05-17 11:00:55,Charter Jet,Cryopreservation,Good - Minor superficial bruising - viable
9990408,333840,43,2,2025-02-26 08:56:18,2025-02-27 05:56:18,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990409,333838,27,5,2021-03-24 13:36:51,2021-03-25 05:04:51,Helicopter,Cryopreservation,Good - Minor superficial bruising - viable
9990410,334224,40,17,2023-12-13 00:50:04,2023-12-14 00:36:04,Medical Courier Service,Cryopreservation,Excellent - No signs of damage or degradation
9990411,333935,15,28,2020-08-28 10:59:54,2020-08-29 09:56:54,Medical Courier Service,Cryopreservation,Compromised - Significant ischemic injury
9990412,333653,43,50,2021-10-22 05:39:27,2021-10-22 10:52:27,Charter Jet,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990413,333644,39,32,2020-02-12 06:22:04,2020-02-12 13:57:04,Medical Courier Service,Cryopreservation,Compromised - Significant ischemic injury
9990414,333770,19,5,2021-11-20 11:49:51,2021-11-21 12:28:51,Specialized Ambulance,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990415,334303,15,40,2023-02-15 16:07:02,2023-02-16 14:35:02,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990416,333857,30,34,2024-02-17 02:42:46,2024-02-17 13:15:46,Helicopter,Cryopreservation,Compromised - Significant ischemic injury
9990417,334057,25,17,2021-02-27 21:24:35,2021-02-28 21:38:35,Helicopter,Cryopreservation,Excellent - No signs of damage or degradation
9990418,333644,15,18,2023-03-25 23:32:50,2023-03-26 13:33:50,Medical Courier Service,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990419,334195,25,12,2022-08-12 07:10:46,2022-08-13 05:33:46,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990420,333338,21,31,2019-07-27 21:03:05,2019-07-28 02:45:05,Helicopter,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990421,333342,25,49,2020-01-07 20:30:07,2020-01-08 14:54:07,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990422,334251,50,33,2024-03-19 13:48:18,2024-03-20 12:45:18,Medical Courier Service,Cryopreservation,Compromised - Significant ischemic injury
9990423,334283,21,9,2022-06-24 20:56:14,2022-06-25 15:27:14,Charter Jet,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990424,333411,32,36,2020-06-30 01:53:21,2020-06-30 14:26:21,Charter Jet,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990425,333560,43,3,2021-08-06 16:43:18,2021-08-07 07:57:18,Helicopter,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990426,333860,48,7,2023-10-16 11:51:55,2023-10-17 02:58:55,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990427,334087,9,19,2019-11-21 07:20:35,2019-11-21 21:31:35,Charter Jet,Cryopreservation,Compromised - Significant ischemic injury
9990428,334316,5,23,2019-10-08 00:52:26,2019-10-08 20:49:26,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990429,333384,15,24,2018-10-16 12:51:14,2018-10-17 01:28:14,Helicopter,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990430,333615,28,13,2021-08-20 13:24:17,2021-08-20 22:43:17,Specialized Ambulance,Cryopreservation,Compromised - Significant ischemic injury
9990431,333473,30,17,2021-03-11 07:25:23,2021-03-11 11:33:23,Helicopter,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990432,333688,13,3,2023-08-07 07:39:23,2023-08-08 02:14:23,Charter Jet,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990433,334303,10,33,2023-03-09 17:08:22,2023-03-09 22:52:22,Charter Jet,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990434,333834,20,21,2024-12-06 08:12:49,2024-12-06 14:19:49,Medical Courier Service,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990435,333365,13,43,2021-06-27 11:35:09,2021-06-27 23:03:09,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990436,333450,3,35,2025-03-11 03:52:04,2025-03-11 13:29:04,Medical Courier Service,Cryopreservation,Compromised - Significant ischemic injury
9990437,333625,41,2,2022-02-18 08:35:42,2022-02-18 17:36:42,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990438,333997,31,12,2019-12-29 22:03:07,2019-12-30 18:31:07,Helicopter,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990439,333989,15,5,2018-11-21 07:14:38,2018-11-21 17:23:38,Helicopter,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990440,333599,15,2,2019-12-17 08:56:52,2019-12-17 13:41:52,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990441,333664,49,28,2023-12-29 08:43:51,2023-12-29 10:59:51,Air Transport (Commercial),Cryopreservation,Compromised - Significant ischemic injury
9990442,333952,36,21,2019-03-04 12:29:20,2019-03-04 14:44:20,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990443,333995,29,5,2023-09-15 20:25:47,2023-09-16 18:25:47,Charter Jet,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990444,334162,47,1,2021-03-27 19:23:04,2021-03-28 06:21:04,Helicopter,Cryopreservation,Excellent - No signs of damage or degradation
9990445,334311,10,4,2020-10-11 04:34:56,2020-10-11 13:38:56,Medical Courier Service,Cryopreservation,Compromised - Significant ischemic injury
9990446,333526,44,16,2019-03-10 13:17:53,2019-03-10 16:38:53,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990447,333657,35,50,2025-02-19 07:48:14,2025-02-19 20:37:14,Helicopter,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990448,334049,6,18,2021-06-12 13:16:38,2021-06-12 20:57:38,Charter Jet,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990449,333980,50,37,2019-07-01 00:16:54,2019-07-01 09:10:54,Charter Jet,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990450,333607,8,36,2023-04-14 08:42:41,2023-04-14 12:20:41,Charter Jet,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990451,333509,5,33,2019-04-07 01:53:10,2019-04-07 04:58:10,Helicopter,Cryopreservation,Good - Minor superficial bruising - viable
9990452,334321,36,16,2021-05-26 20:32:19,2021-05-27 07:29:19,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990453,334201,35,8,2021-04-15 19:43:31,2021-04-16 15:29:31,Helicopter,Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990454,333607,5,6,2022-07-05 14:36:04,2022-07-06 14:59:04,Helicopter,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990455,334297,3,6,2023-03-25 10:03:33,2023-03-25 18:58:33,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990456,333643,18,39,2022-07-31 05:30:15,2022-07-31 07:49:15,Medical Courier Service,Cryopreservation,Good - Minor superficial bruising - viable
9990457,333557,7,43,2019-01-04 16:09:58,2019-01-05 05:40:58,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990458,333730,5,50,2023-02-03 01:26:53,2023-02-03 06:09:53,Helicopter,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990459,334210,3,29,2019-09-25 16:27:08,2019-09-26 09:04:08,Medical Courier Service,Cryopreservation,Good - Minor superficial bruising - viable
9990460,333821,41,11,2022-11-16 22:04:05,2022-11-17 21:12:05,Specialized Ambulance,Cryopreservation,Excellent - No signs of damage or degradation
9990461,333757,7,32,2020-02-02 02:39:54,2020-02-03 02:38:54,Air Transport (Commercial),Cryopreservation,Compromised - Significant ischemic injury
9990462,333793,30,39,2019-02-04 09:09:52,2019-02-04 21:07:52,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990463,334040,40,45,2023-08-25 07:58:27,2023-08-25 20:02:27,Charter Jet,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990464,333624,11,17,2022-11-14 12:06:27,2022-11-14 22:05:27,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990465,333708,24,26,2024-03-19 22:27:59,2024-03-20 17:07:59,Charter Jet,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990466,333518,36,10,2020-03-17 03:57:37,2020-03-18 04:36:37,Helicopter,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990467,333784,28,20,2023-03-27 04:19:35,2023-03-28 01:51:35,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Fair - Some cellular damage noted - requires immediate assessment
9990468,333755,44,28,2022-10-24 22:18:07,2022-10-25 04:26:07,Charter Jet,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990469,334306,7,34,2019-04-23 01:53:33,2019-04-23 06:44:33,Specialized Ambulance,Cryopreservation,Good - Minor superficial bruising - viable
9990470,334252,16,20,2019-05-14 07:08:19,2019-05-14 14:50:19,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990471,333667,6,43,2023-01-06 09:48:08,2023-01-07 04:15:08,Medical Courier Service,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990472,333428,39,9,2024-07-21 17:37:26,2024-07-22 04:13:26,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990473,334259,12,31,2024-06-02 19:34:33,2024-06-03 01:10:33,Helicopter,Cryopreservation,Good - Minor superficial bruising - viable
9990474,333550,38,25,2022-04-17 11:19:05,2022-04-17 14:55:05,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990475,333503,32,41,2022-03-09 01:06:07,2022-03-09 11:30:07,Specialized Ambulance,Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990476,333473,1,48,2021-12-19 17:01:35,2021-12-20 02:26:35,Air Transport (Commercial),Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990477,334249,44,25,2019-10-25 10:53:51,2019-10-25 16:01:51,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990478,333450,18,48,2025-06-08 22:13:42,2025-06-09 04:28:42,Air Transport (Commercial),Cryopreservation,Good - Minor superficial bruising - viable
9990479,333675,14,36,2019-04-02 22:23:54,2019-04-03 01:15:54,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990480,333713,43,20,2018-07-24 14:39:17,2018-07-25 03:20:17,Charter Jet,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990481,334103,6,14,2021-10-10 00:06:16,2021-10-10 20:21:16,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990482,333374,17,8,2019-04-21 21:19:59,2019-04-22 00:40:59,Charter Jet,Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990483,333917,4,17,2019-07-08 10:37:58,2019-07-08 16:04:58,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990484,333386,49,45,2023-08-29 19:56:09,2023-08-30 20:21:09,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990485,334179,26,44,2019-12-09 05:01:01,2019-12-09 22:09:01,Charter Jet,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990486,333398,7,48,2018-12-20 23:32:55,2018-12-21 17:47:55,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990487,334221,22,18,2023-03-16 04:36:58,2023-03-16 18:50:58,Helicopter,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990488,334189,39,49,2022-11-16 04:00:27,2022-11-16 19:53:27,Charter Jet,Cryopreservation,Excellent - No signs of damage or degradation
9990489,333473,4,38,2024-08-09 11:27:59,2024-08-10 08:32:59,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990490,333947,28,5,2021-08-19 17:00:12,2021-08-20 10:08:12,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990491,334185,34,5,2021-02-27 23:01:48,2021-02-28 20:10:48,Air Transport (Commercial),Cryopreservation,Compromised - Significant ischemic injury
9990492,334004,2,39,2020-02-09 05:49:57,2020-02-10 04:30:57,Charter Jet,Cryopreservation,Compromised - Significant ischemic injury
9990493,334062,11,50,2018-11-29 09:59:08,2018-11-29 18:20:08,Charter Jet,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990494,333535,10,14,2019-07-29 15:02:06,2019-07-29 22:37:06,Helicopter,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990495,334168,18,39,2018-11-13 16:45:27,2018-11-14 12:35:27,Charter Jet,Static Cold Storage (SCS) in UW solution,Excellent - No signs of damage or degradation
9990496,333785,39,1,2020-10-09 03:38:01,2020-10-09 22:50:01,Charter Jet,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990497,334323,43,17,2024-06-19 14:30:52,2024-06-20 06:53:52,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990498,333847,25,38,2021-09-24 08:25:13,2021-09-25 00:55:13,Charter Jet,Cryopreservation,Good - Minor superficial bruising - viable
9990499,333402,28,40,2019-05-19 23:35:42,2019-05-20 16:47:42,Helicopter,Cryopreservation,Excellent - No signs of damage or degradation
9990500,334259,18,6,2018-08-10 01:44:08,2018-08-10 15:58:08,Helicopter,Normothermic Machine Perfusion (NMP),Excellent - No signs of damage or degradation
9990501,333790,32,21,2023-02-23 16:56:36,2023-02-24 13:35:36,Medical Courier Service,Cryopreservation,Excellent - No signs of damage or degradation
9990502,334100,28,15,2024-03-04 09:35:33,2024-03-04 17:36:33,Helicopter,Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990503,333835,21,16,2020-12-06 17:16:39,2020-12-07 09:16:39,Specialized Ambulance,Cryopreservation,Compromised - Significant ischemic injury
9990504,334286,3,9,2023-03-16 02:56:25,2023-03-16 06:55:25,Charter Jet,Cryopreservation,Good - Minor superficial bruising - viable
9990505,333671,43,13,2021-10-11 20:13:04,2021-10-12 12:58:04,Helicopter,Cryopreservation,Good - Minor superficial bruising - viable
9990506,334119,16,2,2025-01-03 08:20:03,2025-01-03 22:59:03,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990507,333739,18,32,2022-10-25 00:57:52,2022-10-25 23:41:52,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990508,334099,35,33,2019-11-20 08:23:25,2019-11-21 07:22:25,Specialized Ambulance,Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990509,333901,10,30,2020-03-10 18:20:32,2020-03-11 14:43:32,Air Transport (Commercial),Hypothermic Machine Perfusion (HMP),Compromised - Significant ischemic injury
9990510,333542,5,33,2022-04-26 04:47:07,2022-04-26 08:34:07,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990511,333540,43,12,2019-03-02 22:27:29,2019-03-03 18:51:29,Helicopter,Normothermic Machine Perfusion (NMP),Good - Minor superficial bruising - viable
9990512,334181,25,11,2023-08-01 23:05:36,2023-08-02 02:38:36,Charter Jet,Hypothermic Machine Perfusion (HMP),Excellent - No signs of damage or degradation
9990513,334104,12,41,2024-02-08 06:18:35,2024-02-08 08:45:35,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Fair - Some cellular damage noted - requires immediate assessment
9990514,333471,19,23,2021-03-15 13:52:06,2021-03-16 14:42:06,Helicopter,Cryopreservation,Excellent - No signs of damage or degradation
9990515,333696,42,13,2022-09-24 16:02:22,2022-09-25 03:23:22,Medical Courier Service,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
9990516,334047,12,2,2018-12-11 04:05:21,2018-12-11 14:28:21,Medical Courier Service,Cryopreservation,Compromised - Significant ischemic injury
9990517,333836,12,46,2019-10-07 19:13:15,2019-10-07 23:16:15,Specialized Ambulance,Cryopreservation,Good - Minor superficial bruising - viable
9990518,333680,25,21,2021-12-16 02:45:09,2021-12-16 11:29:09,Air Transport (Commercial),Static Cold Storage (SCS) in UW solution,Good - Minor superficial bruising - viable
9990519,333840,44,33,2019-11-21 00:37:59,2019-11-21 10:46:59,Air Transport (Commercial),Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990520,334318,29,24,2023-05-13 17:08:30,2023-05-14 06:03:30,Helicopter,Hypothermic Machine Perfusion (HMP),Good - Minor superficial bruising - viable
9990521,334027,23,2,2022-06-09 07:09:51,2022-06-10 00:45:51,Air Transport (Commercial),Normothermic Machine Perfusion (NMP),Compromised - Significant ischemic injury
9990522,334166,25,4,2019-02-26 05:41:25,2019-02-27 02:33:25,Helicopter,Cryopreservation,Compromised - Significant ischemic injury
9990523,334310,47,45,2020-06-16 01:35:04,2020-06-16 06:03:04,Specialized Ambulance,Cryopreservation,Fair - Some cellular damage noted - requires immediate assessment
9990524,333359,27,35,2024-03-31 20:27:02,2024-04-01 21:01:02,Specialized Ambulance,Static Cold Storage (SCS) in UW solution,Compromised - Significant ischemic injury
9990525,333410,14,24,2020-11-04 16:52:32,2020-11-05 08:50:32,Medical Courier Service,Cryopreservation,Good - Minor superficial bruising - viable
9990526,333971,13,23,2020-09-25 01:35:54,2020-09-25 19:43:54,Helicopter,Static Cold Storage (SCS) in UW solution,Fair - Some cellular damage noted - requires immediate assessment
